,difference
36975451,1.9199197209039056
36975452,-2.3182790855817785
36975453,-0.18261397035114157
36975454,
36975455,1.58560604661443
36975456,-4.326682173699297
36991787,-0.782653247682326
36991788,-0.9061076410211495
36991789,-0.06556495520942818
36991790,-0.9097837373991666
36991791,-0.741201139251114
36991792,
36991793,-3.023897430793941
36991794,-0.00041668396340277525
36991795,-0.06557537764093802
36991796,-0.7826573920671578
36987706,
36987707,-8.073658652918425e-05
36987708,-7.1404474404346274e-06
36984387,1.933918779817347
36984388,1.9339885229329354
36984389,
36973916,-4.317541492326882e-05
36973917,
36973918,-1.5159178312370756
36973919,-1.5157437219944754
37014846,0.9083016194600226
37014847,
37014848,-1.1168631012948111
37014849,0.9083530155401363
37014850,1.526055924190029
37014851,-1.1166524748942521
37014852,-0.31303399595710246
37014853,-1.0604506272462473
36991461,-0.006136273730703579
36991462,0.1689972703526479
36991463,2.9087038174297106
36991464,2.894834497154065
36991465,3.5490542095516844
36991466,0.16868695995638916
36991467,
36991468,0.15171441966535326
36991469,2.9084425502474716
36991470,2.908839859675311
36969580,
36969581,-2.7008994891275506e-05
37015999,-0.0014871890823204836
37016000,
36972482,-1.6267388258012918
36972483,-2.104945371233506
36972484,-2.1048851934759165
36972485,
36972486,-2.1049464778194533
36972487,-3.8086608741827455e-05
36972488,-8.234940448559325e-05
36972489,-1.7394103782649735
36973802,2.480134580200996
36973803,
37016100,-0.0006150514816454233
37016101,
37016102,2.473195692628309
36968620,0.9098183050265334
36968621,
37013461,-7.411458494743783e-05
37013462,-0.22616435484923159
37013463,-5.1684749053038104e-05
37013464,
37013465,-2.650737170974139
37013466,-2.650748594828599
37013467,-2.6507385232774823
37013468,-2.650739696271444
37014214,-0.3200398548819834
37014215,-0.32002156964258077
37014216,0.5928858468994207
37014217,
37008313,-1.4689433364746474
37008314,-2.3508641565247235
37008315,-1.4689430971238295
37008316,-1.6855774208401897e-05
37008317,
37008318,-1.4694749544048034
37008319,-1.4694717548478862
37010696,-6.490299848538328e-05
37010697,
37010698,1.0602217968037042
37010699,1.0600966080158383
36982533,
36982534,-1.5198494611582873
36982535,-1.8214352544070174
36982536,-1.8218181960889055
36982537,-0.4767273131661227
36982538,-8.082250442242866e-06
36982539,-0.00026058521959271275
36982540,-0.4767460660447931
36982541,-5.7627875627019876e-06
36982542,-1.5198515258979057
36984973,
36984974,-0.0002716241858280455
36984975,0.43491110172345415
37008083,-0.07393414374598706
37008084,0.5578964634667898
37008085,-0.35598565834520457
37008086,-0.5028848291703838
37008087,
37008088,-0.07565051130886502
37008089,0.2753764289611098
37008090,0.27537581955883184
37008091,0.2753811483381554
36996696,1.1122018479343296
36996697,1.1121945166801765
36996698,1.5984472464055557
36996699,2.552471541064051
36996700,-1.022045619556934
36996701,-0.12753796715298904
36996702,-1.4091549368006326
36996703,
36974979,
36974980,-1.5458558173975234e-05
36991779,-0.20625840378103533
36991780,0.651327911113782
36991781,-1.2200008039198025
36991782,0.49875368239062823
36991783,
36991784,0.15794754142234524
36991785,1.1786722054097254
36991786,1.82443986777497
36981550,-3.1852806381320704
36981551,1.3613362386976746
36981552,0.26099799872213225
36981553,-1.13120552314993
36981554,3.4059384199019007
36981555,
36981556,0.486087997258835
36981557,-3.628984727518116
36981558,0.5764251128427986
37016149,-0.32216675878544265
37016150,-0.31970627938940765
37016151,
37013076,-2.5983430697755807
