,tfd
43421364,2.075835571
36985627,1.609444036
36978444,1.536227308
36978446,1.522985064
36988463,1.484194892
36988461,1.483897758
36989242,1.453854223
36982487,1.391994801
36960954,1.33960015
36976937,1.329045037
36982485,1.316017781
36982482,1.241393129
36982483,1.239547316
37006962,1.219108351
36994738,1.199544839
36980210,1.1887555
36985900,1.147236861
43421369,1.140686606
36970157,1.13664153
43429114,1.116677449
43428741,1.082203372
36962829,1.076560979
36989381,1.057426125
43429432,1.052456357
36956844,1.044670592
36966967,1.042504316
43419365,1.036221612
36959338,1.030418729
43421367,1.02833321
43421297,1.023098911
36959341,1.011146416
36958049,1.010627637
36968045,1.009067034
36993640,1.006093956
36983552,1.005784529
43420303,1.004331543
43425605,1.001559595
43425609,1.001058336
36989382,0.999768245
36982216,0.998833967
36989375,0.998489592
43422618,0.988750928
43419068,0.986394489
43419073,0.986094578
36989138,0.984636924
36994292,0.975757521
36973711,0.974092554
36992858,0.97263237
43421940,0.968660526
36994537,0.968327439
43428611,0.964118415
36991767,0.962593747
36968390,0.955696551
43421363,0.953847347
36965793,0.952006443
37015028,0.947992099
36958052,0.946546002
36989378,0.940102202
37016156,0.939817682
36957936,0.939391541
36974712,0.939372148
36992325,0.933218722
36981280,0.923435023
36966485,0.921860638
36975852,0.92039869
43428746,0.916717899
43429308,0.908576916
36985625,0.90751562
43419072,0.904721848
43419067,0.904617318
36996325,0.901313922
36997057,0.898456518
36996331,0.892895678
36956141,0.887694776
36985626,0.88615465
36968040,0.883761382
36964237,0.875461821
43429310,0.872292245
36970997,0.871659822
36969816,0.867491572
43421875,0.866702838
36974973,0.866643792
36994742,0.863646221
37012677,0.858131644
37012675,0.856110487
36998729,0.853542066
36955965,0.850794937
36981282,0.850273443
43428077,0.846541052
36975851,0.846029752
36974974,0.845324841
43423258,0.841609362
36997558,0.840199974
36988150,0.839576378
36981276,0.838903511
36985381,0.83620196
43424516,0.835481965
36989460,0.834734013
36957928,0.831948451
43424127,0.831870185
36968331,0.831553838
43427384,0.831283365
36975065,0.828673218
37009610,0.82756876
36996338,0.826685234
36966930,0.825441205
37010169,0.825294993
37010171,0.825286967
37010178,0.824944612
37010177,0.824886386
36995600,0.817270523
36977245,0.816429879
36964559,0.814543609
37012380,0.810799648
36956135,0.808463707
37012674,0.806532689
36966973,0.804715998
36955019,0.803729047
43424524,0.802193535
36962461,0.801216198
36957321,0.799357785
43421371,0.797680601
43419578,0.797651262
36977584,0.797471221
36956937,0.796650539
43422899,0.793848023
36993689,0.793616679
36962470,0.793308076
36960952,0.792089116
37014030,0.791924547
37014032,0.791864686
36978656,0.790672877
36969766,0.790249648
37016056,0.788783905
36967598,0.788766057
36977334,0.788755953
36960955,0.783114611
37010653,0.779017315
36996337,0.778036528
36969497,0.774993277
36966968,0.773923722
36987587,0.773362531
36982217,0.771090974
43423240,0.770867586
36959689,0.769344484
43423983,0.76886263
36987801,0.768202613
36961727,0.768156958
36998481,0.767630381
36993456,0.764327546
37009320,0.763970524
37009327,0.763864435
43421370,0.762740953
37012623,0.762055357
36977221,0.7594283
36977219,0.75911224
36998728,0.758720183
36994942,0.758176137
36981479,0.75763684
36969771,0.753109234
36997513,0.752045429
36994431,0.749573171
36983551,0.749482133
36968495,0.749291731
36966971,0.74738094
36995122,0.746398678
43424518,0.744837268
37006992,0.744473298
36978404,0.744012826
37008454,0.743212958
36955327,0.743184421
36974877,0.742989244
43425954,0.742624052
36989377,0.741880912
36977022,0.741199884
43432720,0.741018495
36964950,0.740860139
36967859,0.740789881
37006987,0.737912806
36989383,0.736334278
36970159,0.727703858
36968328,0.72720436
36993575,0.726393861
43420300,0.726158914
36959339,0.723883754
36955328,0.723617426
36975639,0.722658223
36965495,0.722249911
36977539,0.721407794
43419214,0.721253024
36995118,0.720701842
36960073,0.720040909
43423735,0.718622125
43423736,0.718585582
43423742,0.717435878
37012497,0.717288648
43423741,0.717160067
43423739,0.717137328
37012676,0.717093091
36996043,0.716138621
43420209,0.716072928
36987694,0.715720954
36959854,0.715433439
36971436,0.714595072
36956980,0.714578054
36961842,0.714436564
36996045,0.714131173
36964042,0.713930317
36972905,0.712853992
36987112,0.712279104
36955819,0.711166426
36967409,0.710821134
36976980,0.710666964
36960113,0.708894496
37008672,0.707936964
36976977,0.707164204
36974878,0.706040319
36960429,0.705777005
37012493,0.704788748
43421269,0.704721516
36964661,0.704550428
36955340,0.704444944
36983228,0.703222493
36983633,0.702066119
37008753,0.701053339
43429721,0.700379845
36955516,0.700289947
43419043,0.70017949
36955537,0.697852329
36981609,0.697550937
36989458,0.696064192
36992328,0.695008309
36977583,0.693428705
43424816,0.693409499
36991693,0.69303024
36998561,0.692960319
36991859,0.692911719
36995119,0.692242768
36968150,0.691931831
36989112,0.691018573
36997477,0.689322545
36957706,0.688284933
36967861,0.687687422
36987717,0.687429873
36988443,0.684824183
36996042,0.684202232
36962548,0.683462733
36995121,0.683065071
43420285,0.682959149
36983638,0.680887059
43418876,0.680769437
37012932,0.680509358
36955825,0.678293168
36996327,0.677818029
37012383,0.677363236
36969440,0.677260335
36985628,0.677199234
